time,rms,crest_factor,total_fft_energy
1.12124990,0.00775936,2.31991412,0.01225300
1.12374990,0.00823867,2.18494500,0.01363783
1.12624990,0.00865378,2.08013674,0.01510495
1.12874990,0.00867131,2.07593028,0.01536306
1.13124990,0.00867274,2.07558838,0.01536134
1.13374990,0.00892156,2.01770141,0.01603120
1.13624990,0.00907480,1.98363050,0.01650843
1.13874990,0.00910295,1.97749655,0.01698325
1.14124990,0.00910583,1.97687127,0.01707782
1.14374990,0.00911930,1.97394931,0.01705137
1.14624990,0.00917922,1.96106399,0.01719450
1.14874990,0.00915601,1.96603641,0.01713858
1.15124990,0.00897894,2.00480832,0.01661329
1.15374990,0.00888035,2.02706540,0.01666014
1.15624990,0.00888029,2.02707888,0.01665897
1.15874990,0.00868050,2.07373266,0.01540752
1.16124990,0.00813802,2.21196824,0.01356732
1.16374990,0.00720571,1.80077530,0.01065013
1.16624990,0.00695107,1.86674334,0.01058743
1.16874990,0.00693356,1.87145898,0.01056735
1.17124990,0.00687192,1.88824363,0.00980888
1.17374990,0.00655161,1.98056097,0.00888550
1.17624990,0.00618813,1.65853029,0.00779147
1.17874990,0.00634384,1.61782135,0.00866524
1.18124990,0.00649926,1.57913327,0.00916977
1.18374990,0.00625169,1.60394833,0.00837305
1.18624990,0.00584907,1.68381115,0.00726193
1.18874990,0.00546190,1.59998910,0.00603466
1.19124990,0.00571899,1.52806396,0.00663349
1.19374990,0.00615924,1.69913129,0.00762952
1.19624990,0.00652878,1.64887760,0.00868173
1.19874990,0.00671832,1.60235789,0.00920661
1.20124990,0.00675697,1.59319164,0.00935418
1.20374990,0.00680327,1.58235005,0.00959147
1.20624990,0.00680313,1.58238241,0.00959357
1.20874990,0.00673552,1.59826613,0.00933042
1.21124990,0.00646086,1.66621128,0.00841622
1.21374990,0.00637533,1.68856323,0.00814842
1.21624990,0.00628818,1.71196766,0.00795188
1.21874990,0.00629071,1.71127764,0.00795099
1.22124990,0.00613626,1.75434997,0.00753081
1.22374990,0.00582320,1.84866691,0.00686244
1.22624990,0.00549047,1.96069825,0.00619476
1.22874990,0.00514657,2.09171609,0.00564841
1.23124990,0.00500281,2.15182253,0.00542042
1.23374990,0.00494922,2.17512174,0.00534325
1.23624990,0.00523561,2.05614098,0.00581519
1.23874990,0.00532363,2.02214365,0.00578368
1.24124990,0.00514909,2.09069028,0.00543095
1.24374990,0.00468861,2.29602162,0.00445442
1.24624990,0.00404649,2.10514020,0.00353634
1.24874990,0.00385781,2.03190954,0.00323126
1.25124990,0.00400952,1.95502683,0.00340159
1.25374990,0.00398212,1.96848000,0.00335730
1.25624990,0.00405494,1.93313259,0.00338921
1.25874990,0.00407111,1.92544995,0.00341780
1.26124990,0.00416064,1.88402108,0.00361775
1.26374990,0.00484917,2.44047500,0.00494379
1.26624990,0.00526713,2.24681828,0.00598428
1.26874990,0.00539591,2.19319360,0.00644014
1.27124990,0.00545493,2.16946560,0.00643698
1.27374990,0.00573327,2.06414004,0.00686515
1.27624990,0.00635281,1.92934649,0.00815581
1.27874990,0.00668680,1.83297958,0.00895720
1.28124990,0.00679955,1.80258486,0.00929680
1.28374990,0.00668800,1.83265043,0.00903426
1.28624990,0.00646698,1.89528554,0.00857025
1.28874990,0.00644703,1.90115124,0.00852568
1.29124990,0.00634087,1.93298013,0.00839660
1.29374990,0.00627042,1.95469718,0.00817170
1.29624990,0.00631302,1.94150623,0.00811161
1.29874990,0.00644893,1.90058936,0.00864341
1.30124990,0.00659802,1.85764342,0.00890625
