time,rms,crest_factor,total_fft_energy
0.84374990,0.01052478,2.29184948,0.02455586
0.84624990,0.01010190,2.38779024,0.02332581
0.84874990,0.01029791,2.34234150,0.02380859
0.85124990,0.01073301,2.24738670,0.02494584
0.85374990,0.01100786,2.19127321,0.02557868
0.85624990,0.01128048,2.13831414,0.02635715
0.85874990,0.01149074,2.09918831,0.02670745
0.86124990,0.01159583,2.08016243,0.02700395
0.86374990,0.01163765,2.07268826,0.02712020
0.86624990,0.01178862,2.04614514,0.02797416
0.86874990,0.01185130,2.03532189,0.02831086
0.87124990,0.01193214,2.02153302,0.02879609
0.87374990,0.01192500,2.02274415,0.02875817
0.87624990,0.01197360,2.01453376,0.02909175
0.87874990,0.01188489,2.02957094,0.02896262
0.88124990,0.01134304,2.12652205,0.02698281
0.88374990,0.01023681,2.34061431,0.02293214
0.88624990,0.00977304,2.01682028,0.02134722
0.88874990,0.01099953,2.43242592,0.02577888
0.89124990,0.01226790,2.18093858,0.03066837
0.89374990,0.01299853,2.05835101,0.03395067
0.89624990,0.01300858,2.05676060,0.03386410
0.89874990,0.01274510,2.09928053,0.03255565
0.90124990,0.01247117,2.14539062,0.03124871
0.90374990,0.01232175,2.17140669,0.03058875
0.90624990,0.01225551,2.18314311,0.03029413
0.90874990,0.01210013,2.21117671,0.02965633
0.91124990,0.01235013,2.16641692,0.03079456
0.91374990,0.01257913,2.12697858,0.03179784
0.91624990,0.01279284,2.09144556,0.03285581
0.91874990,0.01295356,2.06549726,0.03360185
0.92124990,0.01288678,2.07620056,0.03326864
0.92374990,0.01280081,2.09014399,0.03308220
0.92624990,0.01281190,2.08833557,0.03334614
0.92874990,0.01293781,2.06801049,0.03456047
0.93124990,0.01304209,2.05147575,0.03522084
0.93374990,0.01302621,2.05397728,0.03511388
0.93624990,0.01232299,2.17118861,0.03122963
0.93874990,0.01077678,2.26540693,0.02325842
0.94124990,0.00929356,2.08558429,0.01772294
0.94374990,0.00824860,1.70554678,0.01440349
0.94624990,0.00809550,1.73780044,0.01415560
0.94874990,0.00810949,1.73480358,0.01412551
0.95124990,0.00802621,1.75280247,0.01336971
0.95374990,0.00789094,1.78284976,0.01270629
0.95624990,0.00760502,1.84987963,0.01163492
0.95874990,0.00745942,1.88598651,0.01114982
0.96124990,0.00705081,1.95875387,0.00994782
0.96374990,0.00663652,2.06735398,0.00881878
0.96624990,0.00622391,1.81297557,0.00778864
0.96874990,0.00577227,1.69836756,0.00679482
0.97124990,0.00570158,1.71942311,0.00669663
0.97374990,0.00567677,1.72693852,0.00662111
0.97624990,0.00552057,1.77580009,0.00618866
0.97874990,0.00518027,1.89245514,0.00538485
0.98124990,0.00474034,2.06808586,0.00453947
0.98374990,0.00428735,2.11356806,0.00373288
0.98624990,0.00416940,2.17335792,0.00356617
0.98874990,0.00422241,2.14607131,0.00364337
0.99124990,0.00424205,2.13613711,0.00369836
0.99374990,0.00422561,2.14444805,0.00366880
0.99624990,0.00425256,2.13085837,0.00383485
0.99874990,0.00424023,2.13705484,0.00381587
1.00124990,0.00410207,2.20902947,0.00379224
1.00374990,0.00406588,2.22869516,0.00376177
1.00624990,0.00407378,2.22437141,0.00374792
1.00874990,0.00406462,2.22938157,0.00372760
1.01124990,0.00376755,2.40517265,0.00289393
1.01374990,0.00344623,2.62942375,0.00248644
1.01624990,0.00286999,1.99561141,0.00177766
1.01874990,0.00277933,2.06070153,0.00186213
1.02124990,0.00284342,2.01425769,0.00197618
1.02374990,0.00284550,2.01278184,0.00184763
1.02624990,0.00284518,2.01301100,0.00184958
1.02874990,0.00299977,1.90927548,0.00210340
1.03124990,0.00304233,1.88256418,0.00222334
1.03374990,0.00312725,1.83144214,0.00236442
1.03624990,0.00306317,1.86975342,0.00217641
1.03874990,0.00300964,1.90300944,0.00197429
1.04124990,0.00362092,2.54686679,0.00273388
1.04374990,0.00440964,2.61486908,0.00389136
1.04624990,0.00461151,2.50040086,0.00427051
1.04874990,0.00481580,2.39433321,0.00469452
1.05124990,0.00487795,2.36382451,0.00484232
1.05374990,0.00488400,2.36089443,0.00482776
1.05624990,0.00487705,2.36426266,0.00484232
1.05874990,0.00489337,2.35637484,0.00485956
1.06124990,0.00475072,2.42712873,0.00465367
1.06374990,0.00471673,2.44461999,0.00459019
1.06624990,0.00497279,2.31874193,0.00499850
1.06874990,0.00498509,2.31302096,0.00502235
1.07124990,0.00501887,2.29745299,0.00507591
1.07374990,0.00499403,2.30887952,0.00502676
1.07624990,0.00503837,2.28855924,0.00515966
1.07874990,0.00507459,2.27222584,0.00531346
1.08124990,0.00519122,2.22117851,0.00575526
1.08374990,0.00510825,2.25725274,0.00578458
1.08624990,0.00511342,2.25497214,0.00566882
1.08874990,0.00509459,2.26330884,0.00556022
1.09124990,0.00481652,2.39397291,0.00485595
1.09374990,0.00413252,1.85777261,0.00342016
1.09624990,0.00428364,1.95883995,0.00396696
1.09874990,0.00445705,1.89413177,0.00449720
1.10124990,0.00501074,2.16638730,0.00625310
1.10374990,0.00533851,2.03337769,0.00718539
1.10624990,0.00539449,2.01227797,0.00758232
1.10874990,0.00537815,2.01839227,0.00750148
1.11124990,0.00552104,1.96615128,0.00728570
1.11374990,0.00558489,1.94367296,0.00708606
1.11624990,0.00587172,1.90152136,0.00706355
1.11874990,0.00617681,1.80759865,0.00771299
1.12124990,0.00633471,1.76254321,0.00803980
1.12374990,0.00645065,1.73086524,0.00838630
1.12624990,0.00642092,1.73887836,0.00830417
1.12874990,0.00636979,1.75283537,0.00815401
1.13124990,0.00642419,1.73799245,0.00829586
1.13374990,0.00674243,1.65596033,0.00926461
