time,rms,crest_factor,total_fft_energy
0.48812184,1.49678259,1.95762380,575.15486393
0.49061226,1.48738687,1.96998998,554.04084552
0.49310268,1.61471534,1.91698333,660.43471725
0.49559310,1.61609993,1.91534096,665.07205895
0.49808351,1.60735629,1.92575997,647.61295629
0.50057393,1.58272534,1.95572934,579.66065755
0.50306435,1.58197790,1.95665337,589.57896398
0.50555477,1.52190870,2.03388179,535.49965546
0.50804518,1.51774774,2.03945776,507.76468518
0.51053560,1.50857226,2.05186220,517.88032420
0.51302602,1.38949079,2.22770991,414.39616294
0.51551644,1.41522002,2.18720931,448.01589973
0.51800685,1.41717001,2.18419975,446.29187071
0.52049727,1.30581506,2.37046002,363.72342461
0.52298769,1.27125357,2.43490557,353.57206674
0.52547811,1.24295252,2.49034645,332.62481920
0.52796852,1.24184674,2.49256393,333.89027555
0.53045894,1.19375609,2.59297726,304.30283149
0.53294936,1.19398101,2.59248880,305.59908151
0.53543978,1.18310691,2.61631673,299.23653794
0.53793020,0.98523737,3.14176308,196.10431943
0.54042061,0.98474590,3.14333110,195.97749601
0.54291103,0.70063477,2.68366533,101.43253413
0.54540145,0.69721455,2.69683019,100.37281468
0.54789187,0.69740447,2.69609577,100.24686881
0.55038228,0.55716628,2.54490754,68.05763653
0.55287270,0.55358632,2.56136509,68.20898250
0.55536312,0.50780372,2.79229277,62.80966196
0.55785354,0.47912507,2.95942911,54.69163863
0.56034395,0.35960152,3.69665717,28.79405977
0.56283437,0.32705163,4.06456787,23.02222639
0.56532479,0.14064272,2.46989362,4.18848215
0.56781521,0.11751009,2.20218728,2.84220187
0.57030562,0.10873173,2.37997890,2.52351280
0.57279604,0.10099160,1.83920632,2.19146130
0.57528646,0.09597408,1.93535999,2.05929974
0.57777688,0.10322748,1.79936970,2.37779556
0.58026729,0.11005568,1.70201401,2.78375086
0.58275771,0.10965948,1.70816340,2.76351522
0.58524813,0.10234231,1.83029207,2.28136459
0.58773855,0.10123073,1.85038978,2.25708491
0.59022896,0.10124434,1.85014107,2.24054459
0.59271938,0.10440638,1.79410792,2.49932797
0.59520980,0.10702000,1.75029269,2.67531085
0.59770022,0.10727364,1.74615426,2.69188537
0.60019063,0.10349298,1.80994231,2.41486255
0.60268105,0.10411136,1.79919187,2.37480952
0.60517147,0.10584768,1.76967805,2.39810655
0.60766189,0.10727017,1.74621061,2.50479046
0.61015230,0.10596152,1.76777673,2.42526008
0.61264272,0.10286646,1.82096598,2.24541921
0.61513314,0.10173345,1.84124607,2.20748810
0.61762356,0.10682317,1.75351766,2.35612461
0.62011397,0.10913370,1.71639304,2.47003335
0.62260439,0.10097948,1.85499384,2.23139117
0.62509481,0.09933385,1.88572495,2.13047116
0.62758523,0.09281723,2.01812000,1.80812837
0.63007565,0.08458784,1.77182771,1.62176262
0.63256606,0.08549405,1.75304683,1.57704447
0.63505648,0.09175623,1.63340486,1.92009343
0.63754690,0.09180780,1.63248740,1.92122151
0.64003732,0.09228863,1.62398196,1.88813687
0.64252773,0.09111453,1.64490865,1.84312767
0.64501815,0.08778881,1.70722294,1.84115644
0.64750857,0.08636921,1.73528358,1.79631786
0.64999899,0.08966105,1.67157400,2.01138923
0.65248940,0.08889797,1.68592232,1.97728149
0.65497982,0.08916666,1.68084212,1.79435177
0.65747024,0.09455160,1.71116549,1.99887018
0.65996066,0.09529253,1.69786057,2.08137923
0.66245107,0.09517828,1.69989854,2.07158098
0.66494149,0.09020457,1.79362781,1.75245064
0.66743191,0.08630721,1.87462247,1.65707888
0.66992233,0.08271957,1.95592689,1.42378154
0.67241274,0.08950538,1.80763919,1.75649474
0.67490316,0.09434044,1.71499539,1.92252287
0.67739358,0.09347670,1.73084227,1.86505505
0.67988400,0.11176494,2.54581299,2.73910036
0.68237441,0.11056032,2.57355110,2.70449236
0.68486483,0.11107001,2.56174133,2.72194115
0.68735525,0.12365610,2.30099949,3.19746766
0.68984567,0.12848371,2.21454247,3.34167542
0.69233608,0.12585526,2.26079257,3.18762825
0.69482650,0.13577284,2.09565199,3.82971175
0.69731692,0.15509837,2.18220356,5.12161079
0.69980734,0.15416094,2.19547320,5.08738923
0.70229775,0.15713062,2.15397999,5.16511467
0.70478817,0.17129008,1.97592414,5.92921450
0.70727859,0.17256364,1.96134131,5.96593596
0.70976901,0.17227019,1.96468242,5.95188851
0.71225942,0.17855885,1.89548828,6.41256325
0.71474984,0.18507007,1.82880028,6.95707684
0.71724026,0.18416211,1.83781668,6.86149637
0.71973068,0.18397670,1.83966884,6.77912419
0.72222110,0.19301598,1.75351390,7.63775164
0.72471151,0.19116735,1.77047081,7.50152753
0.72720193,0.19182511,1.76439990,7.65274958
0.72969235,0.21389511,2.38408836,10.26464973
0.73218277,0.26226571,2.60916198,15.85835975
0.73467318,0.29069379,2.35400187,19.96168470
0.73716360,0.30502561,2.24339755,22.25596454
0.73965402,0.32331324,2.11650381,23.21039652
0.74214444,0.43431641,2.98611523,38.18084908
0.74463485,0.48122423,2.69504058,46.32205185
0.74712527,0.50713719,2.55733335,51.59463329
0.74961569,0.50688044,2.55862870,51.54946569
0.75210611,0.54014546,2.40105476,58.46076636
0.75459652,0.53543614,2.42217277,57.62106020
0.75708694,0.53542401,2.42222766,57.61802276
0.75957736,0.56950681,2.27726659,66.57465750
0.76206778,0.57566175,2.25291821,67.89499415
0.76455819,0.58049142,2.23417401,67.82667791
0.76704861,0.58106491,2.23196894,67.95519682
0.76953903,0.58083897,2.23283715,68.10653814
0.77202945,0.58026738,2.23503661,68.39573447
0.77451986,0.59210812,2.19034125,70.65551851
0.77701028,0.59623337,2.17518661,71.37534535
0.77950070,0.59685680,2.17291457,71.51476313
0.78199112,0.57761887,2.24528476,67.75909942
